"title","text","rating","travelDate"
"Family Holiday","We stayed here for four nights as we had a wonderful stay last year so felt the need to return. The hotel is a little tired now but was still a wonderful stay. The service was great through out although the butler was shared across more than one floor so a little hard to track down sometimes. The white pillows on the sun loungers make it so easy to just relax while viewing the ocean.","5","2024-08"
"Love this place, always have, always will !","Returned to BAA after a break of several years - we had children and it’s not really a young children kind of place in my opinion. The place is almost as it was pre kids, a fantastic experience. 
So what’s changed ? There is no longer a personal connection with the staff who don’t remember your name and treat you as if they have just met you. There have been reductions in the number and size of toiletries etc and finally the technology in the room is very dated and badly needs upgrading - I could watch a rugby match on my phone but not in the room! 
Still love the place and plan to return again this year.  ","5","2024-02"
"The Jumeirah Burj Al Arab lives up to its reputation as one of the most luxurious hotels in the world.","The Jumeirah Burj Al Arab is a luxurious hotel in Dubai, located on a private island with stunning views of the Arabian Gulf. The hotel offers luxurious suites with sumptuous furnishings, plush fabrics, and high-tech amenities. Dining options include Al Muntaha with panoramic views, Nassimi Beach with a casual vibe, and the Skyview Bar with a sunset view. The hotel also offers a private beach, infinity pool, Talise Spa, and exclusive access to the Wild Wadi Waterpark. The exceptional service from attentive staff enhances the overall experience. The hotel's grand ambiance makes it perfect for romantic getaways, family vacations, or special celebrations. The Jumeirah Burj Al Arab is a once-in-a-lifetime experience for those seeking opulence in Dubai.","5","2023-10"
"Amazing","The service is amazing next to the pool as I experience the cabanas and all day spent in pool and restaurant food is amazing and service is top especially staff staff staff supervisor notes his excellent smiling revivable 
Top customer care service","5","2024-09"
"Back again","I keep returning to this hotel, which tells you something.
Could you find a finer room, well I’d like to know where. 
Staff are wonderful 
It’s not quite what it was 20 yrs ago but still one of the best.","5","2024-09"
"Dubai at its best","This was a very memorable experience
They made us feel at home. We were not demanding and they still went out of their way to go above and beyond to give us a great experience. The beach club and water park are a must.
They all knew who we were when we gave room number. No lines and very courteous .
My o lay complaint is I did t stay longer","5","2024-09"
"Amazing","The place is very nice .......... thank you all.... i will be back again .....................................
..........the stuff amazing...........thanks to all thecteam and manages......woooooooooooooooooooooooooooooooooow","5","2024-09"
"Bonkers but brilliant","Probably the maddest hotel experience but also simply the best service levels experienced - everyone should go at least once","5","2024-09"
"Excellent service","We felt very special. We will stay more days at Jumeirah Burj Al Arab the next will visit Dubai again. ","5","2024-02"
"Hotel fabulous, service good but not amazing, beach club awful","A stay here was always on our bucket list so we decided to go for our first wedding anniversary.
We arranged the hotel transfer which worked seamlessly.
We went to SAL for some lunch prior to our room being ready which was pleasant. 
Our room was pretty wow, and was nice and clean. 
The bed was the most comfortable I have ever slept in. 
We went for dinner in the 2 michelin star seafood restaurant with wine pairing and it was fantastic.  
Breakfast was quite the spread - not sure we did it justice. 
We had spa treatments the following day which were lovely. 

A few negatives, our fridge hadn't been switched on in the room.  We got a cake and some fruit which we'd put in there but it went bad as wasn't chilled.  We noticed the smell the next day.  The butlers were there at the start but we didn't really have much interaction with them.  I'd have expected they would switch the fridge on before we arrived to avoid a funky smell. 

We booked under a half board deal however the details of this and the fact that the restuarants should have given us the information about what was included and what wasn't - that didn't happen. So the lunch part of the half board was wasted on a few small plates. 

Service at SAL was atrocious.  I'm not sure we'd ever go back there.  We got chased back to the hotel like thieves after signing for our bill which was still open as there must have been a staff training issue and they didn't see it.  
We cancelled a future reservation with them and had to follow up on that as the customer relations hadn't got back to us in a day and a half. 

Checkout wasn't a brilliant experience due to the misunderstanding about half board and the bill however a day later we did get a small refund to acknowledge that. 

Overall we are glad we went but a few things soured the experience.  I would go back to eat at the main hotel restarurant or to take friends but I'm not sure I'd go to stay at the hotel,  to the beach club or SAL again.","4","2024-08"
"Amazing.","It is worth every penny. I strongly recommend this hotel (home). We really felt that we are home. They brought flowers and specialty drinks when they found out that I was not feeling well. ","5","2024-08"
"A life experience","Everyone knows the Burj Al Arab. I would say that everyone needs to experience it. It was epic, please book it","5","2024-08"
"Wonderful stay!","From the moment we arrived at Burj Al Arab, we were greeted by Anaëlle, assistant guest relations manager, who could not have been more welcoming. Knowing that we arrived to the hotel after a long flight, Anaëlle swiftly escorted us to our suite where she conducted the check in process without having us stand around in the lobby. Later, she offered to provide a full property tour, detailing the services and amenities offered at Burj Al Arab — everything from the F&B outlets to the various features of the spa. Throughout our stay, during her days off, Anaëlle was consistently helpful and acted as if she was on property the whole time! She was able to assist with off-property dining reservations without referring me to the concierge, clearly ensuring that she was our point of contact throughout our stay.
Anaëlle truly provides personalized service from the heart and acts as an extraordinary ambassador of Burj Al Arab with a smile at all times. I cannot wait to return to this magnificent property! Thank you, Anaëlle!","5","2024-08"
"Character, Charm, and Cheer","What struck me most about this hotel was its unique character. Unlike cookie-cutter chains, this place had personality in spades. The decor was a feast for the eyes, blending local artistry with modern aesthetics. The staff were genuine and friendly, always ready with a local tip or a warm smile. I particularly loved the rooftop bar - the perfect spot to unwind and soak in the city views. A truly memorable stay!","5","2024-07"
"OLD - built in 1999 and never refurbished","Property was built in 1999 and it has never been refurbished since then. The maintenance is a disaster with chipped material, worned fabrics and even rusted pool. The staff has been massively reduced in number compared to what used to be 15 years ago. I went 15 years ago and the hotel in its own style provided a unique and memorable experience. Few days ago I went for one day staycation as my family and I were in Dubai during a super hot August to have one special day. We left extremely disappointed: by a surprisingly old and not taken care of place. We love Dubai and this hotel is one of the flagships of this spectacular city. Can’t be managed like this. If you want great hotels in Jumeirah, don’t worry…. The Mandarin Oriental and the Four Seasons just to mention two of them are really excellent","1","2024-08"
"Out of the world experience of world class hospitality and service","This iconic property is a must experience for connoisseurs of luxury . Everything in this hotel from reception to dining , accommodation and staff hospitality scream luxury . Highly recommend to book the stay and dine package to experience the finest restaurants Al Muntaha and Al Mahara handled by Michelin star chefs .","5","2024-08"
"Really Impressive","Amazing experience, the best of my life! The price is very high but it deserves to have this experience at least once in life!! Everything is amazing, perfect and outstanding! ","5","2024-08"
"Best trip","Amazing hotel and service big thanks to all staff for the differents services from the valet to the GM the area is extraordinarily, the decoration  the view amazing very clean every one is incredibly helpful kind and specially Hafssa we enjoyed every single details","5","2024-08"
"Amazing","I had the best stay of my life!
The courtesy of all the staff was amazing.
I am grateful to  butler for answering my difficult questions!!!!","5","2024-08"
"Dr SS","definitely worth experiencing the vibe. Entertainment for children and restaurants are not as expected. ","4","2024-08"
"Burj Al Arab…AMAZING!","For a surprise to our daughters we booked a stay at the Burj Al Arab. From the moment we entered we were met with a warm reception and hospitality which matched no other hotel. 

We were showed to our amazing room - 2 bedroom suite - which was exceptionally large and was clean and immaculate.  We met our floor butler Islam who made our stay extra special for the girls and no request was too big! 

Dinner was at Al Mahara where we were seated next to the Aquarium. The Italian seafood cuisine was exceptional and hit its 2 Michelin star rating. Dinner service was a show as we were delighted with each dish that came out and the recommendations made by our waiter were amazing along with the rest of the front of house staff.

We had drinks in the Sky bar on the 27 floor which rounded off the evening.  Staff were attentive and views spectacular. 

SAL, the pool area was peaceful with a breathtaking view of the sea and an infinity pool. All the staff were attentive and the sun loungers and cabanas were plentiful. 

Looking forward to staying again…!","5","2024-08"
"Warmth.","Mohamedn Aadil on the ground floor and reception area was so good and welcoming me and my whole family appreciate the warmth and the processional way he treated us and engaged us and other guests. My brothers and Dad would always come to the ground floor to engage him and have coffee or tea.","5","2024-08"
"Nothing","The staff at the pool were unprofessional, and the service was very slow. I had to remind them more than three times about my drink order. Compared to other hotels, I would rate this experience as zero.","1","2024-08"
"Amazing!","Just the best hotel in the world! Nothing else to say! 
Amazing room! Unveliavable amenities! Excelent service! Just go!","5","2024-08"
